Initial.Name,bill,vote,District,Party
J. Jenkins,HB4,NAY,H44,Democratic
C. Morgan,HB4,NAY,H81,Republican
J. York,HB4,NAY,H96,Republican
J. Donohue,HB4,NAY,H37,Democratic
J. Kay,HB4,NAY,H56,Democratic
S. Overly,HB4,NAY,H72,Democratic
R. Benvenuti,HB4,NV,H88,Republican
J. Sims,HB4,NV,H70,Democratic
D. Owens,HB4,NV,H43,Democratic
D. Horlander,HB4,NV,H40,Democratic
J. DeCesare,HB4,NV,H17,Republican
W. Stone,HB4,NV,H22,Democratic
J. Richards,HB4,NV,H20,Democratic
C. Miller,HB4,NV,H28,Democratic
J. Greer,HB4,NV,H27,Democratic
G. Watkins,HB4,NV,H3,Democratic
A. Simpson,HB4,NV,H65,Democratic
R. Nelson,HB4,NV,H87,Democratic
A. Hatton,HB4,NV,H94,Democratic
R. Adkins,HB5,YEA,H99,Democratic
J. Gooch,HB5,YEA,H12,Republican
D. Meade,HB5,YEA,H80,Republican
B. Rowland,HB5,YEA,H21,Republican
L. Bechler,HB5,YEA,H4,Republican
D. Graham,HB5,YEA,H57,Democratic
R. Meeks,HB5,YEA,H42,Democratic
S. Rudy,HB5,YEA,H1,Republican
D. Bentley,HB5,YEA,H98,Republican
D. Hale,HB5,YEA,H74,Republican
M. Meredith,HB5,YEA,H19,Republican
S. Santoro,HB5,YEA,H60,Republican
R. Benvenuti,HB5,YEA,H88,Republican
C. Harris,HB5,YEA,H93,Democratic
R. Meyer,HB5,YEA,H39,Democratic
D. Schamore,HB5,YEA,H10,Democratic
J. Blanton,HB5,YEA,H92,Republican
M. Hart,HB5,YEA,H78,Republican
S. Miles,HB5,YEA,H7,Republican
A. Scott,HB5,YEA,H41,Democratic
K. Bratcher,HB5,YEA,H29,Republican
R. Heath,HB5,YEA,H2,Republican
J. Miller,HB5,YEA,H36,Republican
J. Shell,HB5,YEA,H71,Republican
G. Brown,HB5,YEA,H77,Democratic
T. Herald,HB5,YEA,H91,Republican
R. Mills,HB5,YEA,H11,Republican
A. Simpson,HB5,YEA,H65,Democratic
L. Brown,HB5,YEA,H95,Republican
J. Hoover,HB5,YEA,H83,Republican
P. Moffett,HB5,YEA,H32,Republican
J. Sims,HB5,YEA,H70,Democratic
T. Burch,HB5,YEA,H30,Democratic
D. Horlander,HB5,YEA,H40,Democratic
K. Moser,HB5,YEA,H64,Republican
D. St. Onge,HB5,YEA,H63,Republican
M. Cantrell,HB5,YEA,H38,Democratic
R. Bunch,HB5,YEA,H82,Republican
R. Nelson,HB5,YEA,H87,Democratic
J. Stewart,HB5,YEA,H86,Republican
J. Carney,HB5,YEA,H51,Republican
K. Imes,HB5,YEA,H5,Republican
J. Nemes,HB5,YEA,H33,Republican
W. Stone,HB5,YEA,H22,Democratic
T. Couch,HB5,YEA,H90,Republican
J. Jenkins,HB5,YEA,H44,Democratic
D. Osborne,HB5,YEA,H59,Republican
W. Thomas,HB5,YEA,H8,Republican
J. DeCesare,HB5,YEA,H17,Republican
DJ. Johnson,HB5,YEA,H13,Republican
P. Pratt,HB5,YEA,H62,Republican
J. Tipton,HB5,YEA,H53,Republican
J. Donohue,HB5,YEA,H37,Democratic
D. Keene,HB5,YEA,H67,Democratic
M. Prunty,HB5,YEA,H15,Republican
T. Turner,HB5,YEA,H85,Republican
J. DuPlessis,HB5,YEA,H25,Republican
K. King,HB5,YEA,H55,Republican
R. Rand,HB5,YEA,H47,Democratic
K. Upchurch,HB5,YEA,H52,Republican
D. Elliott,HB5,YEA,H54,Republican
A. Koenig,HB5,YEA,H69,Republican
W. Reed,HB5,YEA,H24,Republican
R. Webber,HB5,YEA,H26,Republican
J. Fischer,HB5,YEA,H68,Republican
S. Lee,HB5,YEA,H45,Republican
J. Richards,HB5,YEA,H20,Democratic
W. Wells,HB5,YEA,H97,Republican
K. Fleming,HB5,YEA,H48,Republican
M. Marzian,HB5,YEA,H34,Democratic
S. Riggs,HB5,YEA,H31,Democratic
S. Westrom,HB5,YEA,H79,Democratic
C. Fugate,HB5,YEA,H84,Republican
D. Mayfield,HB5,YEA,H73,Republican
S. Riley,HB5,YEA,H23,Republican
J. York,HB5,YEA,H96,Republican
A. Gentry,HB5,YEA,H46,Democratic
C. McCoy,HB5,YEA,H50,Republican
R. Rothenburger,HB5,YEA,H58,Republican
J. Kay,HB5,NAY,H56,Democratic
J. Petrie,HB5,NAY,H16,Republican
J. Wayne,HB5,NAY,H35,Democratic
M. Castlen,HB5,NV,H14,Republican
R. Palumbo,HB5,NV,H76,Democratic
T. Moore,HB5,NV,H18,Republican
J. Greer,HB5,NV,H27,Democratic
W. Coursey,HB5,NV,H6,Democratic
K. Sinnette,HB5,NV,H100,Democratic
C. Morgan,HB5,NV,H81,Republican
A. Hatton,HB5,NV,H94,Democratic
M. Dossett,HB5,NV,H9,Republican
G. Watkins,HB5,NV,H3,Democratic
S. Overly,HB5,NV,H72,Democratic
B. Linder,HB5,NV,H61,Republican
K. Flood,HB5,NV,H75,Democratic
A. Wuchner,HB5,NV,H66,Republican
D. Owens,HB5,NV,H43,Democratic
C. Miller,HB5,NV,H28,Democratic
R. Adkins,HB6,YEA,H99,Democratic
K. Fleming,HB6,YEA,H48,Republican
C. McCoy,HB6,YEA,H50,Republican
S. Riley,HB6,YEA,H23,Republican
L. Belcher,HB6,YEA,H49,Democratic
K. Flood,HB6,YEA,H75,Democratic
D. Meade,HB6,YEA,H80,Republican
B. Rowland,HB6,YEA,H21,Republican
D. Bentley,HB6,YEA,H98,Republican
C. Fugate,HB6,YEA,H84,Republican
R. Meeks,HB6,YEA,H42,Democratic
S. Rudy,HB6,YEA,H1,Republican
R. Benvenuti,HB6,YEA,H88,Republican
R. Goforth,HB6,YEA,H81,Republican
S. Miles,HB6,YEA,H7,Republican
S. Santoro,HB6,YEA,H60,Republican
J. Blanton,HB6,YEA,H92,Republican
J. Gooch,HB6,YEA,H12,Republican
C. Miller,HB6,YEA,H28,Democratic
D. Schamore,HB6,YEA,H10,Democratic
K. Bratcher,HB6,YEA,H29,Republican
J. Greer,HB6,YEA,H27,Democratic
R. Mills,HB6,YEA,H11,Republican
J. Shell,HB6,YEA,H71,Republican
G. Brown,HB6,YEA,H77,Democratic
D. Hale,HB6,YEA,H74,Republican
T. Moore,HB6,YEA,H18,Republican
J. Sims,HB6,YEA,H70,Democratic
L. Brown,HB6,YEA,H95,Republican
C. Harris,HB6,YEA,H93,Democratic
C. Morgan,HB6,YEA,H81,Republican
D. St. Onge,HB6,YEA,H63,Republican
T. Burch,HB6,YEA,H30,Democratic
M. Hart,HB6,YEA,H78,Republican
K. Moser,HB6,YEA,H64,Republican
J. Stewart,HB6,YEA,H86,Republican
M. Cantrell,HB6,YEA,H38,Democratic
A. Hatton,HB6,YEA,H94,Democratic
R. Nelson,HB6,YEA,H87,Democratic
W. Stone,HB6,YEA,H22,Democratic
J. Carney,HB6,YEA,H51,Republican
T. Herald,HB6,YEA,H91,Republican
J. Nemes,HB6,YEA,H33,Republican
W. Thomas,HB6,YEA,H8,Republican
M. Castlen,HB6,YEA,H14,Republican
R. Bunch,HB6,YEA,H82,Republican
D. Osborne,HB6,YEA,H59,Republican
J. Tipton,HB6,YEA,H53,Republican
T. Couch,HB6,YEA,H90,Republican
K. Imes,HB6,YEA,H5,Republican
S. Overly,HB6,YEA,H72,Democratic
T. Turner,HB6,YEA,H85,Republican
W. Coursey,HB6,YEA,H6,Democratic
DJ. Johnson,HB6,YEA,H13,Republican
R. Palumbo,HB6,YEA,H76,Democratic
K. Upchurch,HB6,YEA,H52,Republican
J. DeCesare,HB6,YEA,H17,Republican
J. Kay,HB6,YEA,H56,Democratic
P. Pratt,HB6,YEA,H62,Republican
G. Watkins,HB6,YEA,H3,Democratic
J. Donohue,HB6,YEA,H37,Democratic
K. King,HB6,YEA,H55,Republican
M. Prunty,HB6,YEA,H15,Republican
R. Webber,HB6,YEA,H26,Republican
M. Dossett,HB6,YEA,H9,Republican
A. Koenig,HB6,YEA,H69,Republican
R. Rand,HB6,YEA,H47,Democratic
W. Wells,HB6,YEA,H97,Republican
J. DuPlessis,HB6,YEA,H25,Republican
S. Lee,HB6,YEA,H45,Republican
W. Reed,HB6,YEA,H24,Republican
S. Westrom,HB6,YEA,H79,Democratic
J. Fischer,HB6,YEA,H68,Republican
D. Mayfield,HB6,YEA,H73,Republican
J. Richards,HB6,YEA,H20,Democratic
A. Wuchner,HB6,YEA,H66,Republican
L. Bechler,HB6,NAY,H4,Republican
M. Marzian,HB6,NAY,H34,Democratic
P. Moffett,HB6,NAY,H32,Republican
A. Scott,HB6,NAY,H41,Democratic
A. Gentry,HB6,NAY,H46,Democratic
J. Miller,HB6,NAY,H36,Republican
S. Riggs,HB6,NAY,H31,Democratic
J. Wayne,HB6,NAY,H35,Democratic
J. Jenkins,HB6,NAY,H44,Democratic
D. Elliott,HB6,NV,H54,Republican
A. Simpson,HB6,NV,H65,Democratic
R. Meyer,HB6,NV,H39,Democratic
D. Horlander,HB6,NV,H40,Democratic
D. Graham,HB6,NV,H57,Democratic
K. Sinnette,HB6,NV,H100,Democratic
D. Owens,HB6,NV,H43,Democratic
D. Keene,HB6,NV,H67,Democratic
R. Heath,HB6,NV,H2,Republican
J. York,HB6,NV,H96,Republican
J. Petrie,HB6,NV,H16,Republican
B. Linder,HB6,NV,H61,Republican
J. Hoover,HB6,NV,H83,Republican
R. Rothenburger,HB6,NV,H58,Republican
M. Meredith,HB6,NV,H19,Republican
R. Adkins,HB9,YEA,H99,Democratic
D. Graham,HB9,YEA,H57,Democratic
R. Meyer,HB9,YEA,H39,Democratic
B. Rowland,HB9,YEA,H21,Republican
L. Bechler,HB9,YEA,H4,Republican
D. Hale,HB9,YEA,H74,Republican
S. Miles,HB9,YEA,H7,Republican
S. Rudy,HB9,YEA,H1,Republican
D. Bentley,HB9,YEA,H98,Republican
C. Harris,HB9,YEA,H93,Democratic
C. Miller,HB9,YEA,H28,Democratic
S. Santoro,HB9,YEA,H60,Republican
R. Benvenuti,HB9,YEA,H88,Republican
M. Hart,HB9,YEA,H78,Republican
J. Miller,HB9,YEA,H36,Republican
D. Schamore,HB9,YEA,H10,Democratic
J. Blanton,HB9,YEA,H92,Republican
A. Hatton,HB9,YEA,H94,Democratic
R. Mills,HB9,YEA,H11,Republican
A. Scott,HB9,YEA,H41,Democratic
K. Bratcher,HB9,YEA,H29,Republican
R. Heath,HB9,YEA,H2,Republican
P. Moffett,HB9,YEA,H32,Republican
J. Shell,HB9,YEA,H71,Republican
T. Burch,HB9,YEA,H30,Democratic
T. Herald,HB9,YEA,H91,Republican
T. Moore,HB9,YEA,H18,Republican
A. Simpson,HB9,YEA,H65,Democratic
M. Cantrell,HB9,YEA,H38,Democratic
J. Hoover,HB9,YEA,H83,Republican
K. Moser,HB9,YEA,H64,Republican
J. Sims,HB9,YEA,H70,Democratic
J. Carney,HB9,YEA,H51,Republican
D. Horlander,HB9,YEA,H40,Democratic
R. Nelson,HB9,YEA,H87,Democratic
D. St. Onge,HB9,YEA,H63,Republican
M. Castlen,HB9,YEA,H14,Republican
R. Bunch,HB9,YEA,H82,Republican
