Initial.Name,bill,vote,District,Party
S. Meredith,HB33,YEA,S5,Republican
B. Smith,HB33,YEA,S30,Republican
J. Bowen,HB33,YEA,S8,Republican
D. Harper Angel,HB33,YEA,S35,Democratic
G. Neal,HB33,YEA,S33,Democratic
R. Stivers II,HB33,YEA,S25,Republican
T. Buford,HB33,YEA,S22,Republican
E. Harris,HB33,YEA,S26,Republican
D. Parrett,HB33,YEA,S10,Democratic
D. Thayer,HB33,YEA,S17,Republican
J. Carpenter,HB33,YEA,S34,Republican
J. Higdon,HB33,YEA,S14,Republican
J. Adams,HB33,YEA,S36,Republican
R. Thomas,HB33,YEA,S13,Democratic
D. Carroll,HB33,YEA,S2,Republican
P. Hornback,HB33,YEA,S20,Republican
D. Ridley,HB33,YEA,S4,Democratic
J. Turner,HB33,YEA,S29,Democratic
J. Carroll,HB33,YEA,S7,Democratic
S. Humphries,HB33,YEA,S1,Republican
A. Robinson,HB33,YEA,S21,Republican
S. West,HB33,YEA,S27,Republican
P. Clark,HB33,YEA,S37,Democratic
R. Jones II,HB33,YEA,S31,Democratic
J. Schickel,HB33,YEA,S11,Republican
W. Westerfield,HB33,YEA,S3,Republican
C. Embry Jr.,HB33,YEA,S6,Republican
C. McDaniel,HB33,YEA,S23,Republican
W. Schroder,HB33,YEA,S24,Republican
M. Wilson,HB33,YEA,S32,Republican
R. Girdler,HB33,YEA,S15,Republican
M. McGarvey,HB33,YEA,S19,Democratic
D. Seum,HB33,YEA,S38,Republican
M. Wise,HB33,YEA,S16,Republican
A. Kerr,HB33,NV,S12,Republican
R. Webb,HB33,NV,S18,Democratic
R. Alvarado,HB46,YEA,S28,Republican
D. Harper Angel,HB46,YEA,S35,Democratic
G. Neal,HB46,YEA,S33,Democratic
R. Stivers II,HB46,YEA,S25,Republican
J. Bowen,HB46,YEA,S8,Republican
E. Harris,HB46,YEA,S26,Republican
D. Parrett,HB46,YEA,S10,Democratic
D. Thayer,HB46,YEA,S17,Republican
T. Buford,HB46,YEA,S22,Republican
J. Higdon,HB46,YEA,S14,Republican
J. Adams,HB46,YEA,S36,Republican
R. Thomas,HB46,YEA,S13,Democratic
J. Carpenter,HB46,YEA,S34,Republican
P. Hornback,HB46,YEA,S20,Republican
D. Ridley,HB46,YEA,S4,Democratic
J. Turner,HB46,YEA,S29,Democratic
D. Carroll,HB46,YEA,S2,Republican
S. Humphries,HB46,YEA,S1,Republican
A. Robinson,HB46,YEA,S21,Republican
R. Webb,HB46,YEA,S18,Democratic
J. Carroll,HB46,YEA,S7,Democratic
R. Jones II,HB46,YEA,S31,Democratic
J. Schickel,HB46,YEA,S11,Republican
S. West,HB46,YEA,S27,Republican
P. Clark,HB46,YEA,S37,Democratic
A. Kerr,HB46,YEA,S12,Republican
W. Schroder,HB46,YEA,S24,Republican
